Timestamp;Station;Linie;Einsteiger;Aussteiger;Avg
2017-03-01;HST;S21;193117;216833;204975
2017-03-01;HST;S31;339805;346032;342919
2017-03-01;IS;S1;168256;182838;175547
2017-03-01;JUS;S1;354701;370891;362796
2017-03-01;JUS;S2;16278;18002;17140
2017-03-01;JUS;S3;170167;179833;175000
2017-03-01;KRS;S3;71831;73590;72711
2017-03-01;KS;S1;290840;315474;303157
2017-03-01;KS;S2;16029;8132;12081
2017-03-01;KS;S3;131714;143089;137402
2017-03-01;KWS;S1;123697;134275;128986
2017-03-01;KWS;S11;12133;14733;13433
2017-03-01;LAN;S1;306890;318273;312582
2017-03-01;LAN;S11;38269;37647;37958
2017-03-01;LAS;S1;302554;304966;303760
2017-03-01;LAS;S2;15776;16320;16048
2017-03-01;LAS;S3;139087;140145;139616
2017-03-01;LST;S21;164986;138813;151900
2017-03-01;LST;S3;98529;115569;107049
2017-03-01;ML;S2;12491;14523;13507
2017-03-01;ML;S21;159055;181233;170144
2017-03-01;NL;S3;19548;13312;16430
2017-03-01;NRS;S3;114517;116848;115683
2017-03-01;NRS;S31;41600;46618;44109
2017-03-01;NTB;S2;15517;18270;16894
2017-03-01;NTB;S21;199729;201561;200645
2017-03-01;NWF;S3;68548;67066;67807
2017-03-01;NWS;S3;137791;143748;140770
2017-03-01;NWS;S31;68537;58015;63276
2017-03-01;OH;S1;316559;320228;318394
2017-03-01;OH;S11;30129;27059;28594
2017-03-01;OPS;S1;362001;360516;361259
2017-03-01;OPS;S11;31664;41618;36641
2017-03-01;PB;S1;103476;113789;108633
2017-03-01;PB;S11;18059;13740;15900
2017-03-01;PS;S3;59769;65670;62720
2017-03-01;RBK;S21;82137;81658;81898
2017-03-01;RES;S1;330608;310028;320318
2017-03-01;RES;S2;14951;10134;12543
2017-03-01;RES;S3;124300;147957;136129
2017-03-01;RI;S1;176465;180562;178514
2017-03-01;ROP;S2;14236;13329;13783
2017-03-01;ROP;S21;172478;185954;179216
2017-03-01;RP;S1;314497;302555;308526
2017-03-01;RP;S11;34716;36476;35596
2017-03-01;SDF;S1;146186;159630;152908
2017-03-01;SHS;S1;295205;326356;310781
2017-03-01;SHS;S2;16131;13076;14604
2017-03-01;SHS;S3;134952;135761;135357
2017-03-01;SST;S11;33996;42365;38181
2017-03-01;SST;S21;189281;190349;189815
2017-03-01;SST;S31;328454;342483;335469
2017-03-01;ST;S3;20667;20146;20407
2017-03-01;STS;S21;163460;135658;149559
2017-03-01;STS;S3;107795;134540;121168
2017-03-01;THS;S3;70654;76633;73644
2017-03-01;TK;S2;12831;12541;12686
2017-03-01;TK;S21;149280;161297;155289
2017-03-01;VLS;S3;157935;152344;155140
2017-03-01;VLS;S31;228282;221773;225028
2017-03-01;WBS;S1;144093;153367;148730
2017-03-01;WBS;S11;17085;20388;18737
2017-03-01;WCH;S1;333880;331236;332558
2017-03-01;WCH;S11;30659;39220;34940
2017-03-01;WFS;S3;157535;164323;160929
2017-03-01;WFS;S31;232448;231445;231947
2017-03-01;WL;S1;137358;133467;135413
2017-03-01;WLF;S21;55119;49413;52266
